SubVertical,total_startups
Cloud Based Software Solutions Provider,1
Online Grocers,1
Ready-to-Drink Beverage Producer,1
unmanned aerial vehicles creator,1
B2B agri-marketing platform,1
Online lending Platform,1
"Education Network for Institutions, teachers & Students",1
Social commerce platform,1
"Sweets, Eatables, Handicrafts Online Marketplace",1
Mobile & Cloud based App developer,1
Fashion and Apparel,1
Mass Market Mutual Fund Investment Platform,1
Online Courses and Mentoring from Experts,1
Female Hygiene product manufacturer,1
Mobile based Meat ordering App,1
Online Micro Lending Marketplace,1
Health and Well being Platform,1
Treasury Risk Management Solution,1
Ecommerce Fulfilment and Technology Platform,1
Online Water Pumps etailer,1
Online Discovery and Shopping Platform,1
customer intelligence and marketing automation platform,1
Career Planning and Education Advisory Platform,1
Fashion e-tailer,1
Online Fashion Retailer,1
Artificial Intelligence Platform,1
Women\\xe2\\x80\\x99s Fashion ECommerce Portal,1
Non-banking financial company,1
rooftop solar platform,1
SAAS based Service Agreement Management,1
Social Media Anlaytics Platform,1
Online payment Gateway,1
Remote Healthcare Delivery Solutions,1
Enterprise Cloud Solutions,1
Non-Bank Lending Platform For SME,1
Technology based Logistics platform,1
School Uniform & Supplies Marketplace,1
Personalized fitness coaching & Fitness band,1
Expense Management,1
Tech based investor firm,1
Health Food Maker,1
M-Commerce Solutions for Retail Stores,1
Cloud-Based Enterprise Solutions,1
Yogurt and Ice Cream maker,1
Home services marketplace,1
Social Commerce\\xc2\\xa0 Fashion platform,1
B2B platform for Merchants & Retailers,1
SAAS ECommerce Retail app,1
Payroll & HR Software Developer,1
Horizontal Online Marketplace,1
Dockless Scooter Rental Company,1
Enrolment Management Platform,1
Mobile based travel ERP platform,1
Raw Meat Products eTailer,1
"Sales, Market, Distribution & Data Analytics Platform",1
Virtual Reality gaming and entertainment platform,1
Maritime Solutions,1
Diamond B2B eTailer,1
Real-Estate Workflow mobile app,1
Free Door Step Scrap Pickup Service,1
Fashion & Apparel,1
Trade Finance Firm,1
e-surveillance services provider,1
Transport and logistics mobile App,1
User analytics and engagement platform,1
Full Stack Offline & Online ERP Solution,1
eCommerce product discovery software,1
Asset Based Lending platform,1
Data Intelligence & Analytics,1
App based shuttle service,1
mobile payment platform,1
Healthy Snacks manufacturer,1
Cyber-Security Solutions Provider,1
Therapeutics,1
eCommerce Mobile App Builder,1
Credit Worthiness Big Data Analytics,1
Indian Startup ecosystem trends analyzer & funding platform,1
Micro-Delivery Grocery Startup,1
Online Spects Platform for Men and Women,1
Co-Working Space Provider,1
Rolls & Biryanis QSR chain,1
B2B Marketplace for Distributors,1
Application Performance Acceleration,1
Home Improvement Marketplace,1
Women Intimate Wear eTailer,1
Wine,1
Mobile News Curation App,1
Sports Arena discovery,1
Financial Services & Analytics Education Institute,1
Virtual e-commerce platform,1
Logistics and Shipping,1
Vernacular and Video Content Platform,1
mPOS solutions provider,1
Artificial Intelligence based platform,1
Mobile Apps & Tech Services provider,1
Personalized Products & Merchandize eTailer,1
Party Supplies Etailer,1
University Admissions,1
Bus Aggregation,1
Integrated receivables software solutions,1
Mobile Game Developer Studio,1
Online & Mobile learning for kids,1
Local language Mobile OS,1
Experience Discovery Platform,1
Sales Analytics and Enablement Platform,1
Mobile-Based Education Network,1
Genomics Research and Diagnostics Solutions,1
Next Gen Mobility device manufacturer,1
Markerless AR platform,1
hyperlocal fashion retail platform,1
Online ordering solution for restaurants and food chains,1
Diversified Financial,1
Health and Fitness Centres,1
Women\\xe2\\x80\\x99s Fashion etailer,1
Data analytics based Verification services Platform,1
Food Solutions For Corporate,1
Supply Chain Management,1
SME Funding,1
Daily Task Management Mobile App,1
EduTech Platform,1
Mobile Balance Check App,1
Industrial & Home Products Marketplace,1
ECommerce Logistics provider,1
Healthcare Software System,1
Aadhar based Document Signing platform,1
Mobile-based Accounting Software,1
Browser Testing,1
"mobile-first communication platform for on-field staff,",1
Fashion etailer,1
Employee Onboarding and Engagement platform,1
Game Development Startup,1
Branded Workspaces Aggregator,1
Embroiled Clothes For Women,1
Expense Management Solution,1
Used Furniture Marketplace,1
Mobile Education Platform,1
Augmented Reality Solutions,1
Logistics Services and Solutions,1
Digitized Health-Tech Solutions For Practitioners,1
Wearable tech and Internet of Things platform,1
Mobile-only Retailers Engagement Solution,1
Fuel Delivery,1
Mobile Services & Solutions,1
Fresh-Produce Distribution Platform,1
Enterprise Automation suite,1
Men's Health and Wellness brand,1
Blockchain Platform,1
Online Music Streaming,1
Designer-led consumer products,1
Buying portal for SMEs,1
Carpooling Services,1
Mobile Weight Loss Coach,1
Saas based Corporate Travel Management Solution,1
Omni-channel web commerce solutions provider,1
Beauty Products etailer,1
Packers & Movers,1
Mobile App & Web Development company,1
GPS based SaaS Solutions,1
Online Platform Providing Micro Loans For Air Travel,1
Defense Tech & Aerospace startup,1
SAAS application for Pharma Industry,1
"Online food, Grocery ordering & Delivery",1
Online Car repair Marketplace,1
Cloud Based ERP Software,1
online translation and transliteration,1
Co-Working Space Platform,1
Lock screen Rewards mobile app,1
Digital payments & recharge platform,1
Online Food Delivery platform,1
Social Meeting organizer App,1
Mobile Gaming Studio,1
Mobile Email productivity tool,1
Hyperlocal\\xc2\\xa0 Communication Mobile app,1
School Parent Communication App,1
Online health-on-demand platform,1
Online Wealth Management & Savings platform,1
Food Discovery Platform,1
AI powered recruitment platform,1
Free Interactive education platform,1
Transportation & On-demand delivery aggregator,1
Sports & Sport related equipment portal,1
Digital Media publication for women,1
Online Food Ordering & Delivery,1
Real-time Mobile App Management Platform,1
Hyper-local Handyman Service provider,1
Parenting and Child Care portal,1
Online Doctor Consultations,1
Web/Mobile Music Streaming service,1
Social Discovery Mobile app,1
Online Sports discovery and booking platform,1
Mobile Advertising App,1
Classified Listings platform,1
Online Fashion Discussion Community,1
Fresh Food Delivery platform,1
Micro Jobs Provider For Students,1
Healthcare related content platform,1
Online Media,1
Parenting and Baby care Platform,1
Gadget Repair Services Platform,1
Parenting Mobile app,1
Online Communication and Collaboration Platform For Educational Institutions,1
On-Demand Beauty Services,1
Bus Aggregation Platform,1
Beauty Services Marketplace,1
Education Focused Financing Platform,1
Personalized Learning Solutions & products,1
Branded budget hotels marketplace,1
Online Truck Aggregator & Booking platform,1
proximity based\\xc2\\xa0 Rewards platform,1
Health Test Discovery & Ordering service,1
Online portal for Home Design,1
Mobile based rewards platform,1
Bike Aggregator App,1
Events & Restaurant Discovery Marketplace App,1
Unsecured Small Business Loans,1
Online Interior Design platform,1
First Aid care app,1
Product Shopping Comparison App,1
Online Investment Banking platform,1
Public Transport Mobile App,1
Inter-City Taxi Booking platform,1
Online Doctor Discovery Platform,1
Health-based social networking & discovery App,1
Hyperlocal discovery platform,1
English Online News portal,1
SAAS Based HelpDesk Services,1
Online Recruitment Marketplace,1
Home Loan Down payment assistance program,1
Online Marketplace for Photographers,1
Online/Mobile food ordering platform,1
Online & Mobile based Lending platform,1
Personality Development Mobile App,1
Marketing Automation platform,1
Lending platform for salaried professionals,1
Cloud Mobility Solutions,1
Party Hall Booking platform,1
Interior Design Marketplace,1
Online Pet Care Products,1
foreign exchange services,1
parenting blog and kids\\xe2\\x80\\x99 events discovery platform,1
Online Marketplace for financial products,1
Online bike service and repairs platform,1
E-sports platform,1
Digital Media and Entertainment Startup,1
Loan Comparison Portal,1
Financial advisory mobile app,1
"Venue, Events Booking platform",1
Free Ad based Voice Calling,1
Various Highway Help Services,1
Real-time Mobile App Management,1
Car repair and Servicing Platform,1
Mobile App for live emoji,1
Community Platform for Artists and Designers,1
Online Gift Vouchers platform,1
Help Hiring Platform,1
Online Procurement Marketplace,1
mobile based aggregator for local service providers,1
Online rental discovery platform,1
Personal Device Assistant App,1
Beauty Salon Aggregator,1
Online Grocery & Food Store,1
Online Rummy playing Website,1
On-demand home services provider,1
Unified Push Notification service,1
Online Salon Aggregator,1
Social Platform for babycare and parenting,1
Conversion Rate Optimization Platform,1
Digital money transfer platform,1
Online Counselling Platform,1
Professional Driver discovery & Booking Mobile app,1
Online Talent Discovery Platform for Kids,1
Matchmaking app for the differently abled,1
Learning mobile app for students,1
Online Car servicing Booking platform,1
Motorbike rental platform,1
AI Powered Content & Commerce platform,1
Web Video Streaming Platform,1
Gadget & Appliances Service App,1
health and fitness discovery platform,1
Online food ordering platform,1
On-Demand Task Management App,1
Online Home Furnishing Solutions,1
Contract Automation,1
ambulance aggregator and medical taxi provider,1
Matchmaking Mobile App,1
Online Motorbike And Scooter Rental Platforms,1
Online Platform for small business loans,1
Doctor & Clinic\\xc2\\xa0 Discovery Platform,1
Career Planning Services Portal,1
Artist Discovery & Booking platform,1
Mobile Wallet Aggregation platform,1
Startup Focused Media News Portal,1
Online Car Sharing platform,1
Self-driven car booking platform,1
Cashback Mobile app,1
Online Health Diagnosis platform,1
eLearning & Skills Development plat,1
Collaborative co-Working Spaces,1
Daily Subscription based Delivery service,1
Wealth Management App,1
Online Doctor Discovery platform,1
Healthcare Services Aggregator,1
Lending platform for Salaried professionals,1
Salon & Spa Aggregation & Discovery platform,1
App based cab aggregator,1
Branded PG Accomodation booking platform,1
Online Food Ordering platform/App,1
Fitness Gym & Services Discovery platform,1
Loyalty rewards platform,1
"Style, Fashion Discovery Mobile app",1
Retailer Supply Chain platform,1
Health related Information portal,1
"Cashless, paperless solutions for Housing societies",1
Online Marketplace for Used Cars,1
Internet-based TV streaming service provider,1
Smart Parking Platform,1
Bus Pooling services platform,1
Online Media Platform,1
on-demand online talent marketplace,1
Daily Task Management App,1
"Online Travel, Adventure & Activities Portal",1
Digital Media Video platform,1
Alcoholic beverage discovery platform,1
Student Acquisition Platform,1
Fitness centre Discovery & Booking Mobile app,1
Budget Room Aggregator Booking platform,1
Optical Store Aggregator Platform,1
Mobile Fashion App,1
Employee engagements & Rewards platform,1
AI-based health content platform,1
Doctor Search Mobile App,1
Govt Policy Research & Information portal,1
Online Hotel aggregator & Booking platform,1
Fashion Accessories Etailer,1
Local Language Health Information portal,1
Events Ticketing platform,1
Crowd Funding Platform,1
MF investment platform,1
Sports Based Online Media portal,1
Mobile App for Doctors,1
Health & Fitness App,1
Dating & Singles Chat Platform,1
Co-Living space aggregator,1
Local Lifestyle Content and Discovery Platform,1
Online event-booking platform,1
Ed-Tech Platform,1
App based Travel Discovery and Transactions platform,1
Gamified Consumer Insights Portal,1
Online/ Mobile Tax Cab booking,1
Student focussed Content Discovery portal,1
Social Networking app for outdoor interests,1
Online Marketplace For Pharmaceutical Products,1
social messaging platform,1
Mobile Contacts Management app,1
Mobile Messaging App,1
Online Income Tax Filing platform,1
Lending Platform For SMEs,1
Peer-to-peer lending platform,1
Cab Aggregator App,1
Online Salon discovery & Booking Services,1
GRC SAAS Platform,1
Online Tutoring Platform,1
Movie Ticket Booking platform,1
Online transport vehicle booking platform,1
P2P Lending platform,1
Online Share & Commodity Broking platform,1
Home Decor eMarketplace,1
Beauty products discovery platform,1
Online Counseling Platform,1
Rental Property Finder platform,1
Internet & Fresher Job platform,1
Online Home Rental platform,1
Co-Working Spaces Discovery & Booking platform,1
Self-Publishing books platform,1
On-demand 2-wheeler Servicing platform,1
Competitive Exam Preparation Platform,1
Tea Delivery Portal & offline stores,1
online marketplace for discovering fitness centres,1
Cashback & Coupons platform,1
"Wedding Wishlist, Gifts & Registry Creation platform",1
Taxi Rental Platform,1
Online exam practice & preparation platform,1
Two Wheeler Taxi Service,1
Hyperlocal Discovery,1
Online Photography platform,1
Personalized Fashion App,1
Rural E-commerce Platform,1
Hyperlocal home services provider,1
End-to-end Event Organizers Solutions,1
Couple Socialization App,1
Dynamic Restaurant Website creator,1
Online Sports portal & Mobile app,1
Ad Network,1
Online Community for Parents,1
Social discovery platform,1
Hyperlocal Beauty Services platform,1
On-Demand home cleaning services,1
Online Platform For Luxury Hotel Stay For Business Travelers,1
Mobile based ecommerce platform,1
Mobile-based social networking platform,1
Online Job Board,1
Ready To cook Food Solution,1
Mobile based learning app,1
Immunisation Management Platform,1
On-demand Legal documentation and registration service,1
Skill Showcasing platform,1
Online Credit scoring platform,1
Subscription based Home Delivery Platform,1
Instant Mobile Apps Store,1
Credit Report Info platform,1
Mobile customer rewards management platform,1
Digital platform for Women,1
Bike Aggregator Mobile App,1
Professional Tutors discovery & booking mobile app,1
Educational Gamification & Simulation platform,1
Online Micro Lending Platform,1
Intra-City Logistics provider,1
DIY event registration and ticketing portal,1
Online Investment Advisory platform,1
Price Comparison Portal,1
Personal AI Transaction Engine App,1
Subscription-Only News Website,1
healthcare service aggregator,1
Live Online Coaching Classes,1
Hyperlocal Advertising Platform,1
Skill development and vocational training platform,1
Budget Accomodation Aggregator,1
Online Travel Aggregator,1
online restaurant reservation platform,1
online personalized insurance platform,1
Health and fitness Platform,1
Online Stock Broker,1
Online Travel & Holiday Booking platform,1
Online News Media Network,1
Online travel booking platform,1
Consumer Leasing Platform,1
Online Deals & Discount platform,1
Out-Station Taxi Rental Platform,1
P2P Messaging Service,1
Online Lending MarketPlace,1
Loyalty rewards app,1
Health Tests Booking platform & ePharmacy,1
Social Health Networking Platform,1
\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,1
Automobile Classifieds Portal,1
Online Diabetes Management platform,1
Professional Expert Advice Platform,1
Online filing of Tax returns,1
Online Beauty Parlour search & discovery Platform,1
Photography curation & Aggregator platform,1
Online Scholarship Portal,1
Online Fantasy Games,1
Travel Packages & Planner marketplace,1
Offline Business Aggregator App,1
Online Math Learn,1
Sports Discovery platform,1
Social Network for Mothers,1
Online Food Ordering & Delivery Startup,1
Online Recruitment Platform,1
Assisted E-commerce Platform,1
udget hotel marketplace,1
Video Based Collaborative Learning,1
Fashion Discovery App,1
Mobile app based Concierge Service,1
Online / Mobile Food Ordering platform,1
Online Ecosystem of social innovators,1
Tech Enabler for Artists,1
Online Preventive Healthcare Platform,1
Fashion Discovery platform,1
Beauty & Wellness Platform,1
online marketplace for driving schools,1
Auto Service Logistics & SAAS platform,1
Savings platform for Medical Expenses,1
Legal Services to SMEs & Individuals,1
Online MF investment platform,1
Road Trip planning Mobile app,1
Celebrity Entertainment Contest App,1
Chauffeurs Discovery for private car owners,1
Personal Finance App,1
Hyperlocal Grocery Delivery platform,1
Online Car Repair and Servicing Booking platform,1
Video Intelligence platform,1
Startup Support Platform,1
Mobile app based Job Search,1
Online Ticketing Platform,1
Personal Finance platform,1
Rental property search portal,1
Video Streaming platform,1
Car Rental Software,1
Queue management Mobile app,1
Free Online Education Platform,1
Online Loan Comparison & Discovery platform,1
Language learning Mobile App,1
Online rooms aggregation platform,1
Consumer Lending platform,1
Parenting & Child Care app,1
Deals and Discount platform,1
Real Estate content portal,1
Mobile App discovery and review platform,1
Online Consumer Lending Platform,1
Peer to Peer Lending platform,1
App based Doctor Consulting platform,1
Tech-Enabled Social Enterprise,1
Curated Platform for Developers,1
Social Media and Chat Entertainment Platform,1
Mobile gaming startup,1
Product Photography Mobile App,1
Multi-Lingual self-publishing platform,1
Online Branded Budget Room Booking Service,1
"Fitness Centres, Gym Discovery online marketplace",1
Recruitment Portal,1
Online Marriage Registration services,1
shared living and working spaces platform,1
Online Unsecured Lending platform,1
Online Medical Assistance platform,1
Online Rental discovery,1
Talent Discovery & Audition management platform,1
Shuttle Service Provider,1
Online Bike Rental platform,1
Online Marketplace For Resellers,1
Gadgets Repair & Service Booking platform,1
Digital Wallet platform,1
Online invoice app for SMEs,1
Online Furnishing Rental Platform,1
Mobile based Geo-target Fashion Marketplace,1
O2O fashion discovery platform,1
Self-Driven Car Services booking portal,1
Social Networking platform,1
Online Educational courses,1
Online Credit score & lending platform,1
Mobile Apps SaaS Platform,1
Digital Wallet,1
Last minute hotel booking mobile app,1
On-Demand Food Delivery,1
Library Chain Aggregator,1
Online Property Search Portal,1
Fitness Discovery Platform,1
Online Food Delivery for Train Travelers,1
Wedding related services community,1
College & Student information platform,1
online lifestyle media recommendation portal,1
Fitness center aggregator & Booking mobile app,1
Location based Sports & Fitness Discovery App,1
Medical Support service platform,1
Book Recommendation Service,1
Govt service application portal,1
Travel & adventure planning platform,1
Online Job and Career Platform for Women,1
Wedding Website Creator,1
Online Credit management tools,1
Mobile Based Bollywood Discovery platform,1
Educational College Search platform,1
Online Fitness Discovey Platform,1
Custom & Modular Furniture platform,1
Mobile App based Fashion Network,1
Self-Driven Cab booking platform,1
Marketing app for retailers,1
Children\\xe2\\x80\\x99s Entertainment Portal,1
Mobile Payments Platform,1
Digital Marketing & AdTech Platform,1
Healthcare plan comparison platform,1
Virtual Health Clinic for Women,1
Matchmaking App for Disabled,1
Car driver Discovery App,1
Online Travel/Hotel Booking platform,1
Hyperlocal Delivery Platform,1
Mobile Payments platform,1
Women Healthcare & Information portal,1
Online Vehicle Services Booking platform,1
Cloud Telephony Platform,1
DIY Ecommerce platform,1
Healthy Food Delivery Platform,1
Online Lending Platform for SME,1
On Demand Laundry Services,1
Hobby & Activity Class Aggregator,1
Self-Branded Websites & Apps for Ecommerce,1
Online News portal,1
Self-Driven Car rental platform,1
E-Tech platform,1
Womens Health Tracker App,1
Internet of Things Platform,1
Hyperlocal Handyman services platform,1
Fractional Proerty Ownership & Rental platform,1
Doctor & Clinic Discovery portal,1
Events & Activities Marketplace,1
Job Board for Clue Collar Jobs,1
Digital Payments platform,1
Personal Fashion Stylist App,1
Vacation Trip Planning platform,1
Online Tax Filing platform,1
Online Financial Planning,1
Online Crowdfunding platform for NGOs & Social Projects,1
Doctor Discovery and booking platform,1
Home Loan Rate comparison platform,1
On Demand Laundry & Dry Cleaning Services,1
E-Tailoring service provider,1
Online Food Ordering platform,1
Deal Discovery App,1
UPI Payments App,1
Smart Parking Enabler,1
Doctor Consulting platform,1
Fruit & Vegetable Delivery platform,1
Cloud Based Software Solutions,1
Subscription-based grocery delivery Mobile App,1
Mobile Storefront And Commerce Platform For Sellers,1
Payment Solution Mobile app,1
Financial Services For Unorganized Workforce,1
Parenting Social Network Platform,1
co-working space provider,1
Hyperlocal daily needs Products delivery platform,1
Bike Taxi Service & Hyperlocal Delivery App,1
Indians focused Matchmaking App,1
Doctor & Hospital search Platform,1
Sports Social Network mobile app,1
Train Travel Info mobile app,1
Automobile Service Booking App,1
Online Dermatology consultation platform,1
Hyperlocal Home Maintenance services,1
Online Travel Agecy,1
Online printing marketplace,1
Doctor Consultation platform,1
Online legal Services for Startups,1
Education collaboration platform,1
Online Travel Search Engine,1
"on-demand, hyper-local Cleaning services provider",1
Online Alternative health community platform,1
Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,1
Property Discovery Platform,1
Mobile app for Mental Health,1
Credit card fraud protection,1
Finance management Mobile app,1
Free Legal Advice,1
Jobs & Skill Validation platform,1
Online Education & Tutoring portals,1
Online Spa & Salon discovery & Booking platform,1
Cab Aggregating Platform,1
Subscription based delivery platform,1
Online Mutual Fund Investment platform,1
women focussed customer-to-customer reseller network,1
App based cab aggregation Service,1
Community Building platform,1
Online Tutoring Services,1
Local Language Social Networking Platform,1
Digital Payment Platform For Beverage Delivery,1
SME Online Buying Hub,1
Online Bike Rental Marketplace,1
Online Furniture Shopping Store,1
Online Food Marketplace,1
Location-based offline retail discovery platform,1
Online Grocery platform,1
Pathology & Diagnostic Tests Portal,1
B2B Mobile App for Pharmacies,1
Parking Solutions mobile app,1
Fitness Services Aggregator platform,1
Online Medicine Delivery Aggregator,1
Digital Payments solutions,1
Mobile-First Video Blogging App,1
Student Micro-financing platform,1
Career Planning & Assessment platform,1
Online insurance Portal,1
Airline Ticket Aggregator,1
Real Estate Platform,1
Online mental healthcare,1
Social Network for Healthcare Professionals,1
Online/App Based Car cleaning service provider,1
Child healthcare experts aggregator mobile app,1
Online Household Product Rental platform,1
Lending platform for small businesses,1
Online certification platform,1
Instant Messaging App,1
App-based Investment advisory Services,1
Vehicle maintenance Services platform,1
Digital Media Entertainment Portal,1
Self Drive Car Rental,1
Music Discovery Mobile App,1
Bitcoin Buying & Selling Mobile App,1
Self Drive car and bike rental platform,1
Micro-lending platform,1
Healthcare services portal,1
AI Based Personal Assistant,1
Hyperlocal Discovery\\xc2\\xa0 & Rewards platform,1
B2C vernacular podcast aggregator platform,1
Truck Aggregator & Booking platform,1
on-demand chauffeur provider,1
City based News Aggregator App,1
Online Test Papers for competitive exams,1
SAAS DIY\\xc2\\xa0 ECommerce Platform,1
Consumer Technology and Artificial Intelligence Based Aggregator App,1
SME lending platform,1
Budget hotels brand & Aggregator Platform,1
Online Video Lectures platform,1
Healthcare Services & Online Pharmacy Mobile App,1
Peer to peer Lending marketplace,1
Online Lending mobile app,1
AI based Fashion Search Portal,1
Online Tax Filing Portal,1
Hindi Language Social Networking Portal,1
Online Platform That Connects Brands With Freelance Sales Professionals,1
Online Travel Portal,1
Career progression Portal,1
Seed Investment & Innovation Platform,1
Online Legal Consultation platform,1
"Curated Food, event & Lifestyle guide",1
Online Pharmacy Chain,1
Enterprise Contract Management Platform,1
Online health & Wellness platform,1
Online counselling & Personal coaching platform,1
Peer to peer property listing platform,1
Money Savings & Management App,1
Co-Living Spaces Aggregator,1
Background Verification Services,1
Bus Aggregator Mobile app,1
Women\\xe2\\x80\\x99s health Tracker,1
Parenting Social Network,1
Online Used Car Marketplace,1
app-only lending platform,1
Online Doctor Discovery & Chat platform,1
Online Platform That Sells Direct Plans Of Mutual Funds,1
Sports engagement platform,1
Logistics and truck aggregator platform,1
Live Music Streaming App,1
Cab aggregation & Rental platform,1
Hotel reservations & Deal platform,1
on-demand concierge services,1
Restaurant Menu & Food mobile app,1
Online wedding services marketplace,1
App based networking platform,1
Internet Service Provider,1
On-Demand Gadget repair services platform,1
Online Chef Discovery & Booking Service,1
Online Wedding Information Portal,1
Fashion and Lifestyle discovery platform,1
Online Budget Hotel Aggregator & Booking Platform,1
Student Micro-Loan platform,1
Online Tech Portals,1
Alumni social network,1
Train PNR Status Prediction Platform,1
Healthcare Services Comparison Platform,1
Budget hotel aggregator,1
Online Fitness & Educational information Aggregator,1
Scooter Rental Platform,1
Personal Styling Online platform,1
Hindi social networking portal,1
Children\xe2\x80\x99s Entertainment Games & Products,1
Mobile based Logistics provider,1
Ride Sharing platform,1
O2O fashion ecommerce platform,1
Property Search Aggregator platform,1
Compliance Management Software,1
Branded Camping location Aggregator,1
Photo and Video Sharing App,1
mobile platform for corporate employee benefits,1
Online insurance brokerage platform,1
Public and Private Events creation app,1
Foreign Currency Payments Platform,1
Online Peer to Peer Funding,1
hyperlocal Logistics services provider,1
"Online Content Discovery, Creation & Distribution Platform",1
Sports Content Mobile App,1
Digital Media Content and Distribution platform,1
Parenting Network Platform,1
Video Social Network,1
Civil Services News Aggregator,1
Ambulance Aggregation Services,1
Mobile-first Enterprise communication platform,1
Mortgage Offering Platform,1
Home Tutors search & Discovery,1
"A Local Discovery App For Dining-Out, Party, Leisure and Events",1
Co-working spaces,1
Holiday & Vacation resort aggregator,1
Fitness Discovery & Booking platform,1
Holiday Packages provider,1
Visual Content Discovery platform,1
Cleaning Services Provider,1
Online Jon Portal,1
Gadget Insurance & Repair Services platform,1
Platform to take businesses online,1
Online Puja Booking Service,1
Local Recommendations and Discoveries Platform,1
Electronic Health care records platform,1
Entry-Level job Seekers platform,1
Vernacular content mobile app,1
Event & Movie Ticketing platform,1
Vernacular Language Content Creation & Sharing App,1
Online Platform for Event Sponsorship,1
Online Outdoors & travel,1
For profit Social Venture,1
Mobile balance Checking App,1
Creative Artists Discovery & Booking platform,1
Mobile Marketplace for Crowdsourced Work,1
Micro Grocery Delivery Platform,1
Instant Content Transfer Mobile App,1
Real estate risk assessment platform,1
peer-to-peer lending platform,1
Online food delivery platform,1
healthcare aggregator platform,1
Online Organic Juice Delivery Service,1
Budget Hotel Aggregator platform,1
Mobile App for Schools,1
Branded Budget Hotels Aggregator,1
"Mobile Phone Theft, Damage Protection platform",1
Online Working Capital Business Loans Platform,1
On Demand Digital Sports Network,1
Fashion and Store discovery mobile app,1
Events and Activities Discovery Platform,1
Online Restaurant Reservation Platform,1
Online Fitness Marketplace,1
Short News Mobile App,1
Online Notes Sharing Portal,1
Video Based Doctor Consulting platform App,1
Car/ bike Pooling App,1
Online Insurance Startup,1
Pet Parenting mobile app,1
AI based Office Assistant Mobile App,1
Hyperlocal Discover Mobile App,1
Luxury Helicopter Tourism Services portal,1
Mobile-based Social Platform for Sports,1
Stay & Travel related services,1
peer-to-peer renting Marketplace,1
Online milk delivery,1
Photo Sharing Mobile App,1
Education based online portal,1
Online Gold Loan,1
home maintenance services platform,1
Dentist Appointments booking platform,1
Online Food Ordering & Delivery Platform,1
Parenting Info & Social Network,1
Footwear Recommendation App,1
On-demand Delivery & Logistics platform,1
Online Learning platform,1
Community services platform,1
Home rental Discovery & Booking Portal,1
Educational Video Content Creator,1
Online Furniture Customization platform,1
Auto Classifieds Portal,1
Holy Platform Offering Customised Puja Packages To Individuals and Corporates,1
instant messaging platform,1
Online Instant personal Loan provider,1
Co-Working Spaces aggregator,1
Tutor Search Platform,1
Online Legal services platform,1
Aggregator For Packaging Material,1
Online Eyewear Retailer,1
Credit Score Improvement platform,1
Campus Social Networking App,1
Scrap Collection and Recycling platform,1
Online Crowdfunding platform,1
Independent Online Video production company,1
Education Marketplace,1
Photographer Discovery & Information platform,1
Mobile entertainment App,1
Online real estate listings,1
Online Skill Assessment Platform,1
Photo Sharing for Groups,1
Online investment platform,1
Online Indian Car Rental Platform,1
Online Travel planner,1
Online Blogging Platform,1
Online Peer to Peer Lending platform,1
Online Investment management portal,1
Social Networking Platform for Writers,1
Independent News Media Portal,1
Online Insurance platform,1
Health coaching programs,1
on-demand logistics service provider,1
Sports Venue discovery and booking platform,1
Online Platform For Risk-Assessment Services For Real Estate Investments,1
Fitness Centre Discovery Platform,1
Online Car rental booking platform,1
e-Book Publisher,1
App-based Aggregator of Offline Businesses,1
Money Lending platform,1
Bitcoin Wallet,1
End to End health and wellness platform.,1
Unified Data Analysis platform,1
Online medical support platform,1
Rental Bike Aggregator App,1
Online Financial Marketplace,1
News Portal,1
Budget Hotels Aggregator,1
Fitness related Social Networking App & Forum,1
News and ebooks Mobile App\\xc2\\xa0,1
Online Restaurant Table Reservation Platform,1
Online Job Portal,1
Social Media Marketing platform,1
Mobile based Vehicle maintenance App,1
P2P platform for Fashion sales,1
Hotel Booking platform,1
Waste Recycle Management platform,1
Local homes booking platform,1
Peer-to-peer Social Learning platform,1
Fashion Discovery Mobile app,1
Online Travel Ticketing Platform,1
Healthcare Aggregator,1
Pet care portal & mobile app,1
Health & Fitness Wearable Device,1
Goods & Services Barter Platform,1
Online Laundry & Washing service Booking & Delivery,1
Hyperlocal Home Services Provider,1
Online Gaming Platform,1
Consumer Lending Platform,1
Golf Session Online Bookings platform,1
Loan Comparison & Deals platform,1
Matrimony & Couples only mobile platform,1
Machine learning based parking discovery,1
Mobile Learning App,1
Micro Food Delivery platform,1
Mobile App for SAAS based Training,1
Health Products & Services Aggregator,1
Healthcare Discovery & booking platform,1
On-demand Personal Assistant service,1
Hyperlocal doorstep Beauty Services provider,1
Doctor & Clinics Discovery platform,1
Mobile based Referral Platform,1
Online Diagnostics and wellness platform,1
Online Car Service Platform,1
Furnished Home Rental Platform,1
Online consumer lending platform,1
Event Registration and Ticketing platform,1
Coupon & Cashback platform,1
Mobile based social networking platform,1
Online healthcare service discovery platform,1
Ondemand Concierge Service,1
Last mile logistics solutions,1
Personal Finance Mobile App,1
Online travel agent marketplace,1
online to offline marketing platform,1
Online Tutoring Service provider,1
Online Bike & Car Services provider,1
Online match-making app,1
Online Job portal,1
Online Furniture Rental platform,1
Personal Wealth Management Platform & App,1
Small Business Loans Marketplace platform,1
Online Car & Bike Insurance Comparison portal,1
On-Demand Beauty Service provider,1
Train Related Information portal,1
